location,day,number of orders,percentage of deliveries
Bryant Park,2018-05-02,840,0.10833333333333334
Bryant Park,2018-05-03,816,0.10049019607843138
Bryant Park,2018-05-04,896,0.11049107142857142
Bryant Park,2018-05-07,936,0.10790598290598291
Bryant Park,2018-05-08,877,0.09007981755986318
Bryant Park,2018-05-09,923,0.08992416034669556
Bryant Park,2018-05-10,916,0.10043668122270742
Bryant Park,2018-05-11,886,0.08013544018058691
Bryant Park,2018-05-14,891,0.07968574635241302
Bryant Park,2018-05-15,874,0.12242562929061784
Bryant Park,2018-05-16,931,0.0719656283566058
Bryant Park,2018-05-17,894,0.09843400447427293
Bryant Park,2018-05-18,937,0.09498399146211313
Bryant Park,2018-05-21,944,0.11228813559322035
Bryant Park,2018-05-22,874,0.09382151029748284
Bryant Park,2018-05-23,849,0.09305064782096584
Bryant Park,2018-05-24,865,0.08554913294797688
Bryant Park,2018-05-25,851,0.10223266745005875
Bryant Park,2018-05-28,482,0.08506224066390042
Bryant Park,2018-05-29,898,0.11024498886414254
Bryant Park,2018-05-30,954,0.10587002096436059
Bryant Park,2018-05-31,917,0.07960741548527808
Bryant Park,2018-06-01,866,0.09584295612009237
Bryant Park,2018-06-04,875,0.08571428571428572
Bryant Park,2018-06-05,888,0.08896396396396396
Bryant Park,2018-06-06,927,0.08306364617044229
Bryant Park,2018-06-07,938,0.10767590618336886
Bryant Park,2018-06-08,824,0.10072815533980582
Bryant Park,2018-06-11,914,0.06673960612691467
Bryant Park,2018-06-12,911,0.08781558726673985
Bryant Park,2018-06-13,873,0.09278350515463918
Bryant Park,2018-06-14,853,0.11488862837045721
Bryant Park,2018-06-15,870,0.11379310344827587
Bryant Park,2018-06-18,758,0.11741424802110818
Bryant Park,2018-06-19,802,0.11845386533665836
Bryant Park,2018-06-20,898,0.10133630289532294
Bryant Park,2018-06-21,824,0.11529126213592233
Bryant Park,2018-06-22,935,0.09197860962566845
Bryant Park,2018-06-25,834,0.10311750599520383
Bryant Park,2018-06-26,870,0.09770114942528736
Bryant Park,2018-06-27,930,0.1043010752688172
Bryant Park,2018-06-28,852,0.09859154929577464
Bryant Park,2018-06-29,783,0.10344827586206896
Bryant Park,2018-07-02,804,0.14054726368159204
Bryant Park,2018-07-03,841,0.1403091557669441
Bryant Park,2018-07-04,417,0.0671462829736211
Bryant Park,2018-07-05,767,0.0938722294654498
Bryant Park,2018-07-06,885,0.10508474576271186
Bryant Park,2018-07-09,866,0.10392609699769054
Bryant Park,2018-07-10,812,0.11206896551724138
Bryant Park,2018-07-11,802,0.10349127182044887
Bryant Park,2018-07-12,821,0.1023142509135201
Bryant Park,2018-07-13,803,0.12702366127023662
Bryant Park,2018-07-16,846,0.12411347517730496
Bryant Park,2018-07-17,879,0.11376564277588168
Bryant Park,2018-07-18,858,0.10839160839160839
Bryant Park,2018-07-19,864,0.08796296296296297
Bryant Park,2018-07-20,860,0.08255813953488372
Bryant Park,2018-07-23,857,0.11785297549591599
Bryant Park,2018-07-24,876,0.0958904109589041
Bryant Park,2018-07-25,900,0.10333333333333333
Bryant Park,2018-07-26,862,0.08700696055684455
Bryant Park,2018-07-27,818,0.10268948655256724
Bryant Park,2018-07-30,864,0.1076388888888889
Bryant Park,2018-07-31,914,0.10831509846827134
Bryant Park,2018-08-01,878,0.11845102505694761
Bryant Park,2018-08-02,829,0.11821471652593486
Bryant Park,2018-08-03,827,0.10157194679564692
Bryant Park,2018-08-06,757,0.11096433289299867
Bryant Park,2018-08-07,802,0.09351620947630923
Bryant Park,2018-08-08,833,0.09723889555822329
Bryant Park,2018-08-09,793,0.13366960907944514
Bryant Park,2018-08-10,853,0.08440797186400938
Bryant Park,2018-08-13,851,0.09048178613396005
Bryant Park,2018-08-14,892,0.12443946188340807
Bryant Park,2018-08-15,789,0.10012674271229405
Bryant Park,2018-08-16,812,0.11206896551724138
Bryant Park,2018-08-17,815,0.09447852760736196
Bryant Park,2018-08-20,897,0.0947603121516165
Bryant Park,2018-08-21,892,0.09753363228699552
Bryant Park,2018-08-22,838,0.09307875894988067
Bryant Park,2018-08-23,877,0.10718358038768529
Bryant Park,2018-08-24,835,0.11137724550898204
Bryant Park,2018-08-27,829,0.10735826296743065
Bryant Park,2018-08-28,755,0.1205298013245033
Bryant Park,2018-08-29,771,0.11543450064850844
Bryant Park,2018-08-30,828,0.1111111111111111
Bryant Park,2018-08-31,917,0.07088331515812432
Bryant Park,2018-09-03,434,0.12672811059907835
Bryant Park,2018-09-04,884,0.12104072398190045
Bryant Park,2018-09-05,827,0.12333736396614269
Bryant Park,2018-09-06,805,0.10559006211180125
Bryant Park,2018-09-07,852,0.07863849765258216
Bryant Park,2018-09-10,962,0.09147609147609148
Bryant Park,2018-09-11,905,0.10165745856353592
Bryant Park,2018-09-12,924,0.0854978354978355
Bryant Park,2018-09-13,859,0.10477299185098952
Bryant Park,2018-09-14,947,0.09503695881731784
Bryant Park,2018-09-17,900,0.10444444444444445
Bryant Park,2018-09-18,906,0.1291390728476821
Bryant Park,2018-09-19,870,0.09885057471264368
Bryant Park,2018-09-20,949,0.0958904109589041
Bryant Park,2018-09-21,891,0.10325476992143659
Bryant Park,2018-09-24,954,0.10272536687631027
Bryant Park,2018-09-25,868,0.10829493087557604
Bryant Park,2018-09-26,836,0.10645933014354067
Bryant Park,2018-09-27,892,0.09080717488789238
Bryant Park,2018-09-28,942,0.09554140127388536
Bryant Park,2018-10-01,956,0.10669456066945607
Bryant Park,2018-10-02,947,0.09398099260823653
Bryant Park,2018-10-03,981,0.09887869520897044
Bryant Park,2018-10-04,945,0.10158730158730159
Bryant Park,2018-10-05,941,0.0871413390010627
Bryant Park,2018-10-08,473,0.0824524312896406
Bryant Park,2018-10-09,954,0.09538784067085954
Bryant Park,2018-10-10,961,0.09053069719042664
Bryant Park,2018-10-11,941,0.1392136025504782
Bryant Park,2018-10-12,1006,0.09045725646123261
Bryant Park,2018-10-15,971,0.07929969104016478
Bryant Park,2018-10-16,984,0.06097560975609756
Bryant Park,2018-10-17,994,0.079476861167002
Bryant Park,2018-10-18,956,0.06903765690376569
Bryant Park,2018-10-19,1008,0.09623015873015874
Bryant Park,2018-10-22,996,0.07429718875502007
Bryant Park,2018-10-23,974,0.09753593429158111
Bryant Park,2018-10-24,999,0.08508508508508508
Bryant Park,2018-10-25,972,0.09979423868312758
Bryant Park,2018-10-26,1001,0.08091908091908091
Bryant Park,2018-10-29,1026,0.0847953216374269
Bryant Park,2018-10-30,1026,0.08771929824561403
Bryant Park,2018-10-31,984,0.08638211382113821
Bryant Park,2018-11-01,977,0.08597748208802457
Bryant Park,2018-11-02,1006,0.08548707753479125
Bryant Park,2018-11-05,989,0.09706774519716886
Bryant Park,2018-11-06,1001,0.11988011988011989
Bryant Park,2018-11-07,968,0.08677685950413223
Bryant Park,2018-11-08,978,0.09304703476482618
Bryant Park,2018-11-09,996,0.11646586345381527
Bryant Park,2018-11-12,488,0.09631147540983606
Bryant Park,2018-11-13,935,0.07165775401069518
Bryant Park,2018-11-14,958,0.10855949895615867
Bryant Park,2018-11-15,913,0.12048192771084337
Bryant Park,2018-11-16,1001,0.09090909090909091
Bryant Park,2018-11-19,978,0.09611451942740286
Bryant Park,2018-11-20,1011,0.09594460929772503
Bryant Park,2018-11-21,955,0.10471204188481675
Bryant Park,2018-11-22,502,0.14143426294820718
Bryant Park,2018-11-23,937,0.1248665955176094
Bryant Park,2018-11-26,1007,0.11916583912611718
Bryant Park,2018-11-27,1032,0.09496124031007752
Bryant Park,2018-11-28,982,0.09979633401221996
Bryant Park,2018-11-29,1012,0.10968379446640317
Bryant Park,2018-11-30,998,0.11122244488977956
Bryant Park,2018-12-03,1024,0.0771484375
Bryant Park,2018-12-04,1001,0.11988011988011989
Bryant Park,2018-12-05,969,0.12074303405572756
Bryant Park,2018-12-06,977,0.10951893551688843
Bryant Park,2018-12-07,898,0.11581291759465479
Bryant Park,2018-12-10,992,0.1159274193548387
Bryant Park,2018-12-11,956,0.09832635983263599
Bryant Park,2018-12-12,972,0.12139917695473251
Bryant Park,2018-12-13,978,0.12065439672801637
Bryant Park,2018-12-14,916,0.08624454148471616
Bryant Park,2018-12-17,941,0.0871413390010627
Bryant Park,2018-12-18,948,0.10970464135021098
Bryant Park,2018-12-19,976,0.10655737704918032
Bryant Park,2018-12-20,1007,0.09433962264150944
Bryant Park,2018-12-21,1012,0.11067193675889328
Bryant Park,2018-12-24,1021,0.0901077375122429
Bryant Park,2018-12-25,521,0.08637236084452975
Bryant Park,2018-12-26,1019,0.1099116781157998
Bryant Park,2018-12-27,1034,0.10154738878143134
Bryant Park,2018-12-28,1016,0.12992125984251968
Bryant Park,2018-12-31,1001,0.11288711288711288
Columbia,2018-01-01,535,0.15327102803738318
Columbia,2018-01-02,492,0.11382113821138211
Columbia,2018-01-03,528,0.12878787878787878
Columbia,2018-01-04,544,0.13786764705882354
Columbia,2018-01-05,501,0.1936127744510978
Columbia,2018-01-06,469,0.17484008528784648
Columbia,2018-01-07,503,0.14314115308151093
Columbia,2018-01-08,513,0.10721247563352826
Columbia,2018-01-09,605,0.11570247933884298
Columbia,2018-01-10,670,0.10597014925373134
Columbia,2018-01-11,670,0.09104477611940298
Columbia,2018-01-12,659,0.08042488619119878
Columbia,2018-01-13,663,0.13122171945701358
Columbia,2018-01-14,656,0.16158536585365854
Columbia,2018-01-15,694,0.138328530259366
Columbia,2018-01-16,731,0.1121751025991792
Columbia,2018-01-17,723,0.13278008298755187
Columbia,2018-01-18,708,0.12994350282485875
Columbia,2018-01-19,702,0.10541310541310542
Columbia,2018-01-20,764,0.10078534031413612
Columbia,2018-01-21,758,0.08970976253298153
Columbia,2018-01-22,736,0.10869565217391304
Columbia,2018-01-23,778,0.10411311053984576
Columbia,2018-01-24,733,0.10368349249658936
Columbia,2018-01-25,781,0.14212548015364918
Columbia,2018-01-26,681,0.1027900146842878
Columbia,2018-01-27,746,0.06702412868632708
Columbia,2018-01-28,780,0.10256410256410256
Columbia,2018-01-29,762,0.1220472440944882
Columbia,2018-01-30,738,0.12872628726287264
Columbia,2018-01-31,758,0.11609498680738786
Columbia,2018-02-01,798,0.10651629072681704
Columbia,2018-02-02,742,0.15633423180592992
Columbia,2018-02-03,752,0.13164893617021275
Columbia,2018-02-04,866,0.15473441108545036
Columbia,2018-02-05,749,0.11214953271028037
Columbia,2018-02-06,808,0.125
Columbia,2018-02-07,749,0.1548731642189586
Columbia,2018-02-08,743,0.13324360699865412
Columbia,2018-02-09,762,0.1062992125984252
Columbia,2018-02-10,831,0.11432009626955475
Columbia,2018-02-11,811,0.07891491985203453
Columbia,2018-02-12,782,0.0959079283887468
Columbia,2018-02-13,776,0.1056701030927835
Columbia,2018-02-14,844,0.09360189573459715
Columbia,2018-02-15,806,0.09181141439205956
Columbia,2018-02-16,785,0.08917197452229299
Columbia,2018-02-17,755,0.12450331125827814
Columbia,2018-02-18,744,0.125
Columbia,2018-02-19,829,0.08443908323281062
Columbia,2018-02-20,790,0.08354430379746836
Columbia,2018-02-21,744,0.0967741935483871
Columbia,2018-02-22,793,0.08953341740226986
Columbia,2018-02-23,754,0.08620689655172414
Columbia,2018-02-24,797,0.07026348808030113
Columbia,2018-02-25,808,0.0952970297029703
Columbia,2018-02-26,814,0.09705159705159705
Columbia,2018-02-27,786,0.1005089058524173
Columbia,2018-02-28,781,0.08194622279129321
Columbia,2018-03-01,833,0.08163265306122448
Columbia,2018-03-02,783,0.13665389527458494
Columbia,2018-03-03,769,0.08842652795838751
Columbia,2018-03-04,746,0.1126005361930295
Columbia,2018-03-05,793,0.08953341740226986
Columbia,2018-03-06,782,0.0959079283887468
Columbia,2018-03-07,767,0.12385919165580182
Columbia,2018-03-08,748,0.13101604278074866
Columbia,2018-03-09,817,0.1211750305997552
Columbia,2018-03-10,754,0.11140583554376658
Columbia,2018-03-11,762,0.08005249343832022
Columbia,2018-03-12,796,0.0992462311557789
Columbia,2018-03-13,751,0.12916111850865514
Columbia,2018-03-14,808,0.1051980198019802
Columbia,2018-03-15,776,0.08891752577319588
Columbia,2018-03-16,813,0.11808118081180811
Columbia,2018-03-17,777,0.11068211068211069
Columbia,2018-03-18,794,0.08690176322418136
Columbia,2018-03-19,780,0.11538461538461539
Columbia,2018-03-20,773,0.11772315653298836
Columbia,2018-03-21,737,0.11668928086838534
Columbia,2018-03-22,795,0.0830188679245283
Columbia,2018-03-23,786,0.07888040712468193
Columbia,2018-03-24,808,0.0853960396039604
Columbia,2018-03-25,783,0.09450830140485313
Columbia,2018-03-26,767,0.08865710560625815
Columbia,2018-03-27,753,0.10889774236387782
Columbia,2018-03-28,735,0.07210884353741497
Columbia,2018-03-29,804,0.07960199004975124
Columbia,2018-03-30,793,0.08701134930643127
Columbia,2018-03-31,771,0.08560311284046693
Columbia,2018-04-01,843,0.07947805456702253
Columbia,2018-04-02,728,0.09065934065934066
Columbia,2018-04-03,752,0.11835106382978723
Columbia,2018-04-04,830,0.08674698795180723
Columbia,2018-04-05,779,0.10012836970474968
Columbia,2018-04-06,766,0.11096605744125326
Columbia,2018-04-07,757,0.08190224570673713
Columbia,2018-04-08,779,0.10783055198973042
Columbia,2018-04-09,779,0.10269576379974327
Columbia,2018-04-10,825,0.08727272727272728
Columbia,2018-04-11,714,0.08403361344537816
Columbia,2018-04-12,764,0.07722513089005235
Columbia,2018-04-13,753,0.07171314741035857
Columbia,2018-04-14,828,0.0785024154589372
Columbia,2018-04-15,773,0.11642949547218628
Columbia,2018-04-16,752,0.10904255319148937
Columbia,2018-04-17,747,0.1111111111111111
Columbia,2018-04-18,766,0.08746736292428199
Columbia,2018-04-19,724,0.08977900552486189
Columbia,2018-04-20,757,0.10303830911492734
Columbia,2018-04-21,766,0.0835509138381201
Columbia,2018-04-22,762,0.07086614173228346
Columbia,2018-04-23,794,0.08942065491183879
Columbia,2018-04-24,785,0.08662420382165605
Columbia,2018-04-25,774,0.06589147286821706
Columbia,2018-04-26,762,0.07742782152230972
Columbia,2018-04-27,825,0.07636363636363637
Columbia,2018-04-28,698,0.0830945558739255
Columbia,2018-04-29,775,0.09290322580645162
Columbia,2018-04-30,786,0.0916030534351145
Columbia,2018-05-01,700,0.10428571428571429
Columbia,2018-05-02,657,0.1035007610350076
Columbia,2018-05-03,653,0.09800918836140889
Columbia,2018-05-04,672,0.09970238095238096
Columbia,2018-05-05,698,0.09025787965616046
Columbia,2018-05-06,742,0.08086253369272237
Columbia,2018-05-07,721,0.10957004160887657
Columbia,2018-05-08,748,0.09893048128342247
Columbia,2018-05-09,740,0.07567567567567568
Columbia,2018-05-10,743,0.0901749663526245
Columbia,2018-05-11,736,0.09239130434782608
Columbia,2018-05-12,682,0.09530791788856305
Columbia,2018-05-13,754,0.06896551724137931
Columbia,2018-05-14,722,0.11357340720221606
Columbia,2018-05-15,620,0.12741935483870967
Columbia,2018-05-16,756,0.08333333333333333
Columbia,2018-05-17,780,0.09487179487179487
Columbia,2018-05-18,732,0.07650273224043716
Columbia,2018-05-19,762,0.0984251968503937
Columbia,2018-05-20,727,0.12242090784044017
Columbia,2018-05-21,668,0.11377245508982035
Columbia,2018-05-22,714,0.11064425770308123
Columbia,2018-05-23,665,0.0962406015037594
Columbia,2018-05-24,703,0.08392603129445235
Columbia,2018-05-25,641,0.1029641185647426
Columbia,2018-05-26,631,0.10618066561014262
Columbia,2018-05-27,717,0.08786610878661087
Columbia,2018-05-28,720,0.08888888888888889
Columbia,2018-05-29,699,0.11731044349070101
Columbia,2018-05-30,696,0.08620689655172414
Columbia,2018-05-31,690,0.07246376811594203
Columbia,2018-06-01,628,0.0732484076433121
Columbia,2018-06-02,657,0.1187214611872146
Columbia,2018-06-03,692,0.0968208092485549
Columbia,2018-06-04,630,0.07777777777777778
Columbia,2018-06-05,639,0.09389671361502347
Columbia,2018-06-06,693,0.06493506493506493
Columbia,2018-06-07,644,0.07919254658385093
Columbia,2018-06-08,666,0.11261261261261261
Columbia,2018-06-09,620,0.08870967741935484
Columbia,2018-06-10,679,0.11192930780559647
Columbia,2018-06-11,693,0.11255411255411256
Columbia,2018-06-12,682,0.10117302052785923
Columbia,2018-06-13,678,0.08702064896755163
Columbia,2018-06-14,635,0.13543307086614173
Columbia,2018-06-15,663,0.0889894419306184
Columbia,2018-06-16,627,0.11961722488038277
Columbia,2018-06-17,547,0.09323583180987204
Columbia,2018-06-18,576,0.125
Columbia,2018-06-19,555,0.0972972972972973
Columbia,2018-06-20,589,0.11544991511035653
Columbia,2018-06-21,608,0.10361842105263158
Columbia,2018-06-22,598,0.08862876254180602
Columbia,2018-06-23,619,0.09208400646203554
Columbia,2018-06-24,602,0.08471760797342193
Columbia,2018-06-25,578,0.0986159169550173
Columbia,2018-06-26,597,0.11892797319932999
Columbia,2018-06-27,583,0.07547169811320754
Columbia,2018-06-28,565,0.08849557522123894
Columbia,2018-06-29,504,0.12103174603174603
Columbia,2018-06-30,484,0.09504132231404959
Columbia,2018-07-01,426,0.09389671361502347
Columbia,2018-07-02,488,0.10655737704918032
Columbia,2018-07-03,491,0.109979633401222
Columbia,2018-07-04,494,0.09919028340080972
Columbia,2018-07-05,443,0.0744920993227991
Columbia,2018-07-06,484,0.09917355371900827
Columbia,2018-07-07,497,0.10261569416498995
Columbia,2018-07-08,447,0.07606263982102908
Columbia,2018-07-09,454,0.11894273127753303
Columbia,2018-07-10,421,0.11163895486935867
Columbia,2018-07-11,470,0.1
Columbia,2018-07-12,482,0.1078838174273859
Columbia,2018-07-13,441,0.07936507936507936
Columbia,2018-07-14,486,0.10905349794238683
Columbia,2018-07-15,446,0.10762331838565023
Columbia,2018-07-16,430,0.09302325581395349
Columbia,2018-07-17,506,0.11462450592885376
Columbia,2018-07-18,440,0.1159090909090909
Columbia,2018-07-19,441,0.09070294784580499
Columbia,2018-07-20,485,0.09278350515463918
Columbia,2018-07-21,455,0.08571428571428572
Columbia,2018-07-22,509,0.11787819253438114
Columbia,2018-07-23,463,0.1079913606911447
Columbia,2018-07-24,428,0.11214953271028037
Columbia,2018-07-25,503,0.0874751491053678
Columbia,2018-07-26,447,0.11409395973154363
Columbia,2018-07-27,518,0.12548262548262548
Columbia,2018-07-28,495,0.12727272727272726
Columbia,2018-07-29,507,0.1222879684418146
Columbia,2018-07-30,494,0.07692307692307693
Columbia,2018-07-31,528,0.08143939393939394
Columbia,2018-08-01,517,0.11992263056092843
Columbia,2018-08-02,500,0.108
Columbia,2018-08-03,529,0.12098298676748583
Columbia,2018-08-04,506,0.1007905138339921
Columbia,2018-08-05,537,0.10800744878957169
Columbia,2018-08-06,524,0.08587786259541985
Columbia,2018-08-07,542,0.12730627306273062
Columbia,2018-08-08,500,0.09
Columbia,2018-08-09,546,0.09157509157509157
Columbia,2018-08-10,529,0.10586011342155009
Columbia,2018-08-11,599,0.14023372287145242
Columbia,2018-08-12,590,0.08983050847457627
Columbia,2018-08-13,619,0.09531502423263329
Columbia,2018-08-14,551,0.10526315789473684
Columbia,2018-08-15,566,0.10070671378091872
Columbia,2018-08-16,579,0.11744386873920552
Columbia,2018-08-17,584,0.11643835616438356
Columbia,2018-08-18,619,0.13570274636510501
Columbia,2018-08-19,672,0.10416666666666667
Columbia,2018-08-20,568,0.08626760563380281
Columbia,2018-08-21,644,0.12111801242236025
Columbia,2018-08-22,662,0.11329305135951662
Columbia,2018-08-23,615,0.09268292682926829
Columbia,2018-08-24,614,0.08631921824104234
Columbia,2018-08-25,679,0.09425625920471281
Columbia,2018-08-26,643,0.08242612752721618
Columbia,2018-08-27,609,0.11001642036124795
Columbia,2018-08-28,554,0.148014440433213
Columbia,2018-08-29,609,0.12315270935960591
Columbia,2018-08-30,577,0.1022530329289428
Columbia,2018-08-31,703,0.10526315789473684
Columbia,2018-09-01,708,0.07062146892655367
Columbia,2018-09-02,758,0.09234828496042216
Columbia,2018-09-03,646,0.07585139318885449
Columbia,2018-09-04,623,0.10754414125200643
Columbia,2018-09-05,679,0.101620029455081
Columbia,2018-09-06,637,0.09262166405023547
Columbia,2018-09-07,689,0.09288824383164006
Columbia,2018-09-08,735,0.08571428571428572
Columbia,2018-09-09,799,0.0688360450563204
Columbia,2018-09-10,745,0.09261744966442953
Columbia,2018-09-11,707,0.0891089108910891
Columbia,2018-09-12,731,0.10259917920656635
Columbia,2018-09-13,709,0.09167842031029619
Columbia,2018-09-14,704,0.08948863636363637
Columbia,2018-09-15,748,0.10828877005347594
Columbia,2018-09-16,686,0.11370262390670553
Columbia,2018-09-17,697,0.09612625538020086
Columbia,2018-09-18,658,0.12006079027355623
Columbia,2018-09-19,735,0.10340136054421768
Columbia,2018-09-20,728,0.09065934065934066
Columbia,2018-09-21,690,0.07536231884057971
Columbia,2018-09-22,722,0.08448753462603878
Columbia,2018-09-23,737,0.09769335142469471
Columbia,2018-09-24,733,0.07776261937244201
Columbia,2018-09-25,747,0.10174029451137885
Columbia,2018-09-26,672,0.08779761904761904
Columbia,2018-09-27,755,0.10463576158940398
Columbia,2018-09-28,707,0.0876944837340877
Columbia,2018-09-29,716,0.09497206703910614
Columbia,2018-09-30,742,0.10242587601078167
Columbia,2018-10-01,720,0.08333333333333333
Columbia,2018-10-02,746,0.11528150134048257
Columbia,2018-10-03,730,0.0821917808219178
Columbia,2018-10-04,663,0.10256410256410256
Columbia,2018-10-05,746,0.0777479892761394
Columbia,2018-10-06,781,0.088348271446863
Columbia,2018-10-07,751,0.08388814913448735
Columbia,2018-10-08,752,0.09308510638297872
Columbia,2018-10-09,770,0.08701298701298701
Columbia,2018-10-10,733,0.08867667121418826
Columbia,2018-10-11,757,0.11228533685601057
Columbia,2018-10-12,738,0.0921409214092141
Columbia,2018-10-13,724,0.0787292817679558
Columbia,2018-10-14,781,0.09346991037131883
Columbia,2018-10-15,716,0.09776536312849161
Columbia,2018-10-16,765,0.10457516339869281
Columbia,2018-10-17,774,0.08010335917312661
Columbia,2018-10-18,795,0.09056603773584905
Columbia,2018-10-19,804,0.11069651741293532
Columbia,2018-10-20,765,0.0915032679738562
Columbia,2018-10-21,746,0.09651474530831099
Columbia,2018-10-22,749,0.08678237650200267
Columbia,2018-10-23,748,0.08689839572192513
Columbia,2018-10-24,770,0.09090909090909091
Columbia,2018-10-25,814,0.08968058968058969
Columbia,2018-10-26,821,0.0876979293544458
Columbia,2018-10-27,776,0.10051546391752578
Columbia,2018-10-28,853,0.09261430246189918
Columbia,2018-10-29,737,0.08005427408412483
Columbia,2018-10-30,767,0.0847457627118644
Columbia,2018-10-31,759,0.08036890645586298
Columbia,2018-11-01,822,0.09124087591240876
Columbia,2018-11-02,783,0.06513409961685823
Columbia,2018-11-03,773,0.0685640362225097
Columbia,2018-11-04,738,0.07452574525745258
Columbia,2018-11-05,776,0.06701030927835051
Columbia,2018-11-06,756,0.09656084656084656
Columbia,2018-11-07,802,0.07605985037406483
Columbia,2018-11-08,768,0.08984375
Columbia,2018-11-09,868,0.13940092165898618
Columbia,2018-11-10,782,0.0959079283887468
Columbia,2018-11-11,730,0.07945205479452055
Columbia,2018-11-12,782,0.07289002557544758
Columbia,2018-11-13,762,0.08005249343832022
Columbia,2018-11-14,756,0.11507936507936507
Columbia,2018-11-15,736,0.11005434782608696
Columbia,2018-11-16,779,0.0962772785622593
Columbia,2018-11-17,805,0.1093167701863354
Columbia,2018-11-18,806,0.09553349875930521
Columbia,2018-11-19,784,0.08035714285714286
Columbia,2018-11-20,774,0.09431524547803617
Columbia,2018-11-21,781,0.10115236875800256
Columbia,2018-11-22,757,0.14398943196829592
Columbia,2018-11-23,744,0.11693548387096774
Columbia,2018-11-24,803,0.0958904109589041
Columbia,2018-11-25,783,0.09450830140485313
Columbia,2018-11-26,779,0.12965340179717585
Columbia,2018-11-27,747,0.11512717536813923
Columbia,2018-11-28,751,0.09587217043941411
Columbia,2018-11-29,812,0.0874384236453202
Columbia,2018-11-30,769,0.0858257477243173
Columbia,2018-12-01,813,0.09471094710947109
Columbia,2018-12-02,774,0.082687338501292
Columbia,2018-12-03,780,0.08974358974358974
Columbia,2018-12-04,709,0.09732016925246827
Columbia,2018-12-05,740,0.10945945945945947
Columbia,2018-12-06,704,0.09943181818181818
Columbia,2018-12-07,748,0.10160427807486631
Columbia,2018-12-08,751,0.11984021304926765
Columbia,2018-12-09,750,0.09066666666666667
